abs_slot,actual,forecast
196924609,0.15002441,0.08701110506932291
196924636,0.08649237,0.0879631496905264
196924637,4.4389206e-05,0.07985106412365096
196924669,0.08807928,0.05819574708497025
196924670,0.0021972656,0.06182164783888085
196924780,0.19810902,0.03874947963450269
196924786,0.037242543,0.05072867033031058
196924814,0.2738037,0.05530797898385708
196924834,0.028198242,0.055761032397289224
196924853,0.044688832,0.046880580848075094
196924861,0.025956588,0.055185127949103595
196924896,0.17741255,0.04411553794992149
196924897,0.019475764,0.047238305196937565
196924905,0.1143022,0.04687862143579735
196924919,0.1627863,0.06549431562479732
196924920,0.013006037,0.06589945682046641
196924928,0.15897994,0.07622770568021764
196924975,0.12835139,0.06715572398561107
196925002,0.061456855,0.0605717478925186
196925042,0.13206898,0.05196856771916772
196925049,0.05176891,0.04877100300836009
196925113,0.44911888,0.054687576624638724
196925160,0.44756526,0.10902737806287582
196925199,0.6143799,0.12723073473332916
196925252,0.9614591,0.14333876787954217
196925261,0.3396662,0.19805215072533197
196925269,0.3635254,0.21696180850668845
196925276,0.30686256,0.24809175155878885
196925291,0.47003728,0.19308760250834417
196925297,0.16993298,0.3053954436786277
196925312,0.29921654,0.30691907368549803
196925337,0.32393023,0.24710749812029323
196925343,0.20963912,0.2332311534660974
196925368,0.2610973,0.19985613505715802
196925369,4.4389206e-05,0.22935497427255785
196925407,0.22545277,0.17624857620355114
196925410,0.026378285,0.1568810334815528
196925418,0.13662997,0.1302105209458155
196925419,4.4389206e-05,0.17870926601815035
196925425,0.097645156,0.15456897025723138
196925428,4.4389206e-05,0.15093127795166816
196925429,0.016668146,0.12957093557874202
196925434,0.02418102,0.10919992865198916
196925437,4.4389206e-05,0.1066558052049349
196925445,0.070534445,0.08067337173717849
196925453,0.03280362,0.07212942686126647
196925461,0.0077126245,0.04983120965831169
196925468,0.036110617,0.048606055837965526
196925509,0.109308414,0.05665104356012061
196925511,4.4389206e-05,0.04230725989456461
196925530,0.11848588,0.05797360718608082
196925538,0.017223012,0.0504160850506439
196925556,0.07386363,0.04144698901207552
196925581,0.16584916,0.0514355894087238
196925607,0.33770198,0.06878217958068095
196925616,0.13463245,0.08740684572030542
196925639,0.17042126,0.07444085661119026
196925640,0.0032515093,0.07868731788890924
196925667,0.09913219,0.06662842074294378
196925672,0.0075017754,0.06124479276663433
196925682,0.111050695,0.05266815540668903
196925723,0.3375577,0.06514988571586237
196925746,0.12808505,0.1022363669868107
196925757,0.11025169,0.09847540617004512
196925782,0.14798251,0.07186588132624311
196925808,0.04930531,0.06854455439431188
196925843,0.082330875,0.05562802999100079
196925845,0.005814986,0.05399854532031583
196925849,0.020097213,0.0538229922375651
196925864,0.05083674,0.04051713206696881
196925906,0.23285466,0.05324109331626764
196925910,4.4389206e-05,0.05782597895079839
196925923,0.02397017,0.0560929489493827
196925942,0.08943315,0.0522041510917948
196925951,0.0921298,0.05616603582033482
196925961,0.0061035156,0.04651422630631612
196925972,0.07213246,0.039893975712891314
196926021,0.18690075,0.04479690707780184
196926025,0.022938121,0.06123788637889148
196926031,0.013649681,0.05302393990259917
